Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
L1_LogisticRegression,SVM,0.4706,0.449,0.0216,0.6423,0.4749,,,26.6
L1_LogisticRegression,MLP,0.5091,0.5219,0.0375,0.5352,,,,26.6
L1_LogisticRegression,LR,0.5344,0.53,0.0146,0.4645,,0.4855,,26.6
L1_LogisticRegression,CatBoost,0.5856,0.598,0.0124,0.4706,,,,26.6
Boruta,RandomForest,0.5314,0.5,0.1126,0.5494,0.3266,,,4.8
Boruta,XGBoost,0.5388,0.5764,0.0783,0.4316,,,,4.8
Boruta,kNN,0.6048,0.4695,0.2366,0.5072,,,,4.8
Boruta,SVM,0.5108,0.449,0.1368,0.5488,0.3134,,,4.8
Boruta,MLP,0.4723,0.5219,0.079,0.6861,0.5247,,,4.8
Boruta,LR,0.5335,0.53,0.1248,0.5574,0.3545,0.4855,,4.8
Boruta,CatBoost,0.5637,0.598,0.0939,0.4576,0.2314,,,4.8
Forward_Selector_LR,RandomForest,0.5102,0.5,0.1297,0.5242,0.3301,,,10.4
Forward_Selector_LR,XGBoost,0.4145,0.5764,0.1618,0.6531,0.4802,,,10.4
Forward_Selector_LR,kNN,0.5462,0.4695,0.1655,0.647,0.4945,,,10.4
Forward_Selector_LR,SVM,0.4441,0.449,0.046,0.6804,0.4663,,,10.4
Forward_Selector_LR,MLP,0.4344,0.5219,0.1095,0.5428,,,,10.4
Forward_Selector_LR,LR,0.4661,0.53,0.2032,0.614,0.4171,0.4855,,10.4
Forward_Selector_LR,CatBoost,0.4148,0.598,0.2381,0.593,,,,10.4
Forward_Selector_XGBoost,RandomForest,0.6702,0.5,0.1701,0.4795,0.1867,,,13.4
Forward_Selector_XGBoost,XGBoost,0.6017,0.5764,0.0579,0.5472,0.2074,,,13.4
Forward_Selector_XGBoost,kNN,0.6185,0.4695,0.1715,0.5215,0.2733,,,13.4
Forward_Selector_XGBoost,SVM,0.4448,0.449,0.0638,0.5979,,,,13.4
Forward_Selector_XGBoost,MLP,0.5343,0.5219,0.092,0.574,,,,13.4
Forward_Selector_XGBoost,LR,0.5024,0.53,0.083,0.5603,,0.4855,,13.4
Forward_Selector_XGBoost,CatBoost,0.5805,0.598,0.1025,0.5786,,,,13.4
Forward_Selector_RF,RandomForest,0.6067,0.5,0.1834,0.5606,,,,18.2
Forward_Selector_RF,XGBoost,0.5539,0.5764,0.1042,0.5023,,,,18.2
Forward_Selector_RF,kNN,0.4317,0.4695,0.1028,0.5537,,,,18.2
Forward_Selector_RF,SVM,0.4284,0.449,0.0517,0.6764,0.5239,,,18.2
Forward_Selector_RF,MLP,0.4073,0.5219,0.1302,0.413,,,,18.2
Forward_Selector_RF,LR,0.4953,0.53,0.1102,0.5739,,0.4855,,18.2
Forward_Selector_RF,CatBoost,0.5048,0.598,0.1546,0.6181,,,,18.2
MB,RandomForest,0.5,0.5,0.0,0.5443,,,,36.0
MB,XGBoost,0.5764,0.5764,0.0,0.5342,0.3936,,,36.0
MB,kNN,0.4695,0.4695,0.0,0.5508,,,,36.0
MB,SVM,0.449,0.449,0.0,0.6207,0.4799,,,36.0
MB,MLP,0.5219,0.5219,0.0,0.5021,,,,36.0
MB,LR,0.53,0.53,0.0,0.4855,,0.4855,,36.0
MB,CatBoost,0.598,0.598,0.0,0.4796,,,,36.0
Exclude_Desc,RandomForest,0.596,0.5,0.096,0.6117,0.4647,,,35.0
Exclude_Desc,XGBoost,0.6118,0.5764,0.0355,0.5662,0.3245,,,35.0
Exclude_Desc,kNN,0.4316,0.4695,0.0379,0.5761,,,,35.0
Exclude_Desc,SVM,0.4513,0.449,0.023,0.6558,0.4618,,,35.0
Exclude_Desc,MLP,0.5094,0.5219,0.0544,0.5845,,,,35.0
Exclude_Desc,LR,0.5176,0.53,0.0148,0.4755,,0.4855,,35.0
Exclude_Desc,CatBoost,0.597,0.598,0.0219,0.5083,,,,35.0
MB_Exclude_Desc,RandomForest,0.596,0.5,0.096,0.6117,0.4647,,,35.0
MB_Exclude_Desc,XGBoost,0.6118,0.5764,0.0355,0.5662,0.3245,,,35.0
MB_Exclude_Desc,kNN,0.4316,0.4695,0.0379,0.5761,,,,35.0
MB_Exclude_Desc,SVM,0.4513,0.449,0.023,0.6558,0.4618,,,35.0
MB_Exclude_Desc,MLP,0.5094,0.5219,0.0544,0.5845,,,,35.0
MB_Exclude_Desc,LR,0.5176,0.53,0.0148,0.4755,,0.4855,,35.0
MB_Exclude_Desc,CatBoost,0.597,0.598,0.0219,0.5083,,,,35.0
HITON,RandomForest,0.224,0.5,0.2761,0.8329,0.6745,,,2.0
HITON,XGBoost,0.236,0.5764,0.3403,0.8241,0.6626,,,2.0
HITON,kNN,0.2315,0.4695,0.2565,0.7303,,,,2.0
HITON,SVM,0.2065,0.449,0.2425,0.8425,0.6829,,,2.0
HITON,MLP,0.236,0.5219,0.2859,0.8241,0.6626,,,2.0
HITON,LR,0.2502,0.53,0.2799,0.8387,0.6643,0.4855,,2.0
HITON,CatBoost,0.2494,0.598,0.3486,0.7848,,,,2.0
IAMB,RandomForest,0.2708,0.5,0.2292,0.7256,,,,3.0
IAMB,XGBoost,0.2759,0.5764,0.3005,0.7206,,,,3.0
